01KVH1ZAS2X6YDV7KGZB2M3C3H	CDP-ES-51-JKMZ4MA1	aecs	BORRAS Y BALLESTEROS, S.A.	51	\N	https://redcomercial.peugeot.es/borrasyballesteros/	2026-06-19 23:03:06.787513+00
01KVH1ZASA51G1BQBRMZG0GQA1	CDP-ES-29-923H8ZCF	aecs	CAETANO MOTORS  MALAGA, S.L. (IBERICAR)	29	\N	https://www.caetanoretail.es/peugeot/caetano-motors-malaga/	2026-06-19 23:03:06.795626+00
01KVH1ZASJ6ZGK8FCYRQZRENRA	CDP-ES-11-QZZKE2A8	aecs	CAETANO MOTORS CADIZ, S.L. (IBERICAR)	11	\N	https://www.caetanoretail.es/peugeot/caetano-motors-cadiz/	2026-06-19 23:03:06.803547+00
01KVH1ZAT29S6S75FVGSBJGSB4	CDP-ES-50-X6BF20DG	aecs	CARZA, S.A.	50	\N	https://www.carza-zaragoza.es	2026-06-19 23:03:06.819306+00
01KVH1ZATMYG9BMQZ640DA76Q9	CDP-ES-14-Q1Z4F48E	aecs	CORDOBESA DE SERVICIOS, SAU	14	\N	https://www.eticalidad.com/leapmotor-cosersa/	2026-06-19 23:03:06.837417+00
01KVH1ZAXRRYE7VDJHD0MJ6E2Y	CDP-ES-43-6V11FYYK	aecs	JOAQUIN OLIVA, S.A.	43	\N	https://www.joaquinoliva.com	2026-06-19 23:03:06.93689+00
01KVH1ZAVJGY6EP1Q841VJE01V	CDP-ES-46-99YD0J2P	aecs	EDAUTO, S.A.	46	\N	https://www.edauto.es	2026-06-19 23:03:06.86779+00
01KVH1ZAW99P8P6P2ZB1Z7YQKV	CDP-ES-49-HPABCT2P	aecs	ESLAUTO AUTOMOCIÓN, S.L.U. (SALAMANCA)	49	\N	https://www.hervimotor.com	2026-06-19 23:03:06.890382+00
01KVH1ZAWHTSF72KCJ0WT9NNQE	CDP-ES-08-QKXHMK6W	aecs	EUTRASA	08	\N	https://www.eutrasa.com	2026-06-19 23:03:06.898145+00
01KVH1ZAWS270X2CDY920G1FBX	CDP-ES-10-261K4KT0	aecs	EXTRECAR, S.L.	10	\N	https://www.extrecar.es	2026-06-19 23:03:06.906475+00
